flex0,flex1,flex2,flex3,flex4
841,917,956,799,793
845,917,956,801,793
847,919,957,801,795
851,919,957,803,795
851,919,957,804,796
851,919,958,805,797
851,920,958,807,798
851,920,958,808,798
851,920,958,809,799
851,920,960,810,799
851,921,960,812,799
851,921,960,813,800
852,921,960,815,803
852,921,960,817,806
852,921,962,818,813
852,921,963,818,818
852,922,965,820,821
852,922,966,826,821
852,922,967,828,826
852,922,967,836,828
852,922,969,840,829
852,922,970,841,833
852,923,971,841,834
852,924,972,844,837
852,925,972,846,839
852,925,974,849,839
852,925,974,850,843
852,926,975,851,844
852,926,975,853,847
852,926,975,853,847
852,927,975,857,851
852,927,975,858,851
852,928,975,859,852
853,929,975,861,852
853,929,975,861,852
853,929,975,862,853
853,929,975,862,853
853,929,976,862,853
853,929,976,862,853
853,931,976,862,853
853,931,976,862,853
853,931,976,863,853
854,932,976,863,853
854,932,976,863,853
854,932,976,864,853
854,932,976,865,853
854,932,976,865,853
854,932,976,866,854
854,933,976,866,854
854,933,976,866,854
854,933,976,867,854
854,933,976,867,854
854,934,976,867,854
854,934,976,867,854
854,934,976,868,854
855,934,976,868,854
855,934,976,868,854
855,934,976,868,854
855,935,976,868,854
855,935,976,869,854
855,936,976,869,854
855,936,976,869,854
855,937,977,869,854
855,938,977,869,854
856,938,977,870,854
856,938,977,870,854
856,939,977,870,854
856,939,977,870,854
856,939,977,870,854
856,940,977,870,854
856,940,977,870,854
856,941,977,871,854
856,941,977,871,855
856,942,977,871,855
856,943,977,872,855
856,943,977,872,855
856,943,977,872,855
856,943,977,872,855
856,943,977,873,855
856,943,977,873,855
856,943,977,873,855
856,943,977,874,855
856,943,978,874,855
856,943,978,875,855
856,944,978,876,855
856,944,978,876,855
856,944,978,876,855
856,944,978,876,855
856,944,978,877,855
856,944,978,877,855
856,944,978,877,856
856,945,979,877,856
856,945,979,877,856
856,945,979,878,856
856,945,979,878,856
857,945,979,879,856
857,945,979,880,856
857,945,979,880,856
857,945,979,880,856
857,945,979,881,856
857,945,979,881,856
857,946,979,881,856
857,946,979,882,856
857,946,979,882,856
857,946,979,882,857
857,946,979,882,857
857,946,979,882,857
857,946,979,883,857
857,946,979,883,857
858,946,979,883,857
858,946,979,883,857
858,946,979,883,857
858,946,979,883,857
858,946,979,883,857
858,946,979,884,857
858,946,979,885,857
858,946,979,885,857
858,946,979,885,857
858,946,979,885,857
858,947,979,885,857
858,947,979,885,857
858,947,979,886,858
858,947,979,887,858
859,947,979,887,858
859,947,979,887,858
859,947,979,887,858
859,947,979,888,859
859,947,979,888,859
859,947,979,888,859
859,947,979,888,859
859,947,979,888,859
859,947,979,889,859
860,947,979,889,859
861,947,979,889,859
861,947,979,890,859
861,947,980,890,860
861,947,980,890,860
861,947,980,890,860
861,947,980,890,860
861,947,980,890,860
862,947,980,891,860
862,947,980,891,861
862,947,980,891,861
863,947,980,891,861
863,947,980,891,861
863,948,980,891,861
863,948,980,891,861
864,948,980,891,861
864,948,980,892,861
864,948,980,892,861
864,948,980,892,861
864,948,980,892,861
864,948,980,892,861
864,948,980,892,861
864,948,981,892,861
864,948,981,892,861
864,948,981,892,861
864,948,981,893,862
864,948,981,893,862
864,948,981,893,862
864,948,981,893,862
864,948,981,894,862
864,948,981,894,862
864,948,981,894,862
864,948,981,894,862
865,948,981,894,862
865,948,981,894,863
865,948,981,894,863
865,948,981,894,863
865,948,981,894,863
865,948,981,894,863
865,948,981,894,863
865,948,981,894,864
865,948,981,894,864
865,948,981,894,865
865,948,981,894,865
865,948,981,894,865
865,948,981,895,865
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
865,949,981,895,866
866,950,981,895,867
866,950,981,895,867
866,950,981,895,867
866,950,981,895,868
866,951,981,895,868
866,951,981,895,869
866,951,981,895,869
866,951,981,895,870
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,951,981,895,871
866,952,981,895,871
866,952,981,895,871
867,952,981,895,871
867,952,981,895,871
867,952,981,895,871
867,952,981,895,872
867,952,981,895,872
867,952,981,895,872
867,952,981,895,872
867,952,981,895,872
867,952,981,895,872
867,952,982,895,872
867,952,982,895,872
867,952,982,895,872
867,953,982,895,872
867,953,982,895,872
868,953,982,895,872
868,953,982,895,872
868,953,982,896,872
868,953,982,896,873
868,953,982,896,873
868,953,982,896,873
868,953,982,896,873
868,953,982,896,873
868,953,982,896,873
868,953,982,896,874
868,953,982,896,874
868,953,982,897,874
868,953,982,897,875
868,953,982,897,875
868,953,982,898,875
869,953,982,898,875
869,953,982,898,875
869,953,982,899,875
869,953,982,899,876
869,953,982,899,876
869,953,982,900,876
869,953,982,900,876
869,953,982,901,876
869,953,982,902,876
870,953,982,902,876
870,953,982,902,876
870,953,982,903,876
870,953,982,903,876
870,953,982,904,876
870,953,982,904,876
870,953,982,905,876
870,953,982,905,876
871,953,982,905,876
871,953,982,905,876
871,953,982,906,876
871,953,982,907,877
872,953,982,907,877
872,953,983,907,878
872,953,983,907,880
873,953,983,907,880
873,953,983,907,881
873,953,983,907,882
873,953,983,908,883
874,953,983,908,883
874,953,983,908,883
874,953,983,908,883
875,953,983,908,884
875,953,984,908,884
876,953,984,908,884
876,953,984,908,885
877,953,984,909,886
877,953,984,909,886
878,953,984,909,886
878,954,984,909,887
878,954,984,909,887
879,954,984,910,887
879,954,984,910,888
879,954,984,910,888
880,954,984,910,888
880,954,984,910,888
880,954,984,910,889
881,954,984,910,889
882,954,985,910,889
882,954,985,910,889
883,954,985,910,891
883,954,985,911,891
883,954,985,911,891
883,954,985,911,891
883,954,985,911,891
884,954,985,912,891
884,954,985,912,892
885,954,985,912,892
885,955,985,912,892
885,955,985,912,892
885,955,985,912,893
885,955,985,913,893
885,956,985,913,893
886,956,985,913,893
886,956,985,914,893
886,956,985,914,893
886,956,985,915,893
886,957,985,915,894
887,957,985,915,894
887,957,986,915,894
887,957,986,915,894
887,957,986,915,894
887,957,986,915,894
887,957,986,915,895
887,957,986,915,895
887,957,986,915,895
887,957,986,915,895
887,957,986,915,895
887,957,986,915,895
888,957,986,916,895
888,958,986,916,896
888,958,986,916,896
888,958,986,916,896
888,958,986,916,897
888,958,986,916,898
889,958,986,916,898
889,958,986,916,898
890,958,986,916,898
890,958,986,916,899
890,958,986,916,899
890,958,986,916,899
890,958,986,916,899
890,958,986,916,902
890,959,986,917,903
891,959,986,917,903
891,960,986,917,905
891,960,986,917,906
891,961,986,917,907
891,961,986,917,909
891,961,986,917,909
892,961,986,918,910
892,961,986,919,910
893,962,986,919,910
893,962,986,919,910
893,962,986,919,911
893,962,986,919,911
893,963,986,919,911
894,963,986,920,911
894,964,986,920,911
894,964,986,921,911
894,964,986,921,911
894,964,986,922,911
894,964,986,922,911
895,964,986,922,911
895,964,986,922,912
895,964,986,922,913
895,964,986,922,914
895,964,986,922,914
895,965,986,923,915
895,965,986,923,915
895,965,986,923,915
895,965,986,923,915
895,965,986,923,915
896,965,986,923,916
896,966,986,923,917
896,966,986,923,917
896,966,987,923,917
898,967,987,923,918
903,968,987,923,918
903,968,987,923,918
903,968,987,923,918
905,968,987,923,919
905,968,987,923,920
906,968,987,923,920
907,968,987,923,920
907,968,987,923,920
908,968,987,923,921
908,968,987,924,921
909,969,987,924,921
909,969,987,924,921
909,969,987,924,922
910,969,987,924,922
910,969,987,924,922
911,969,987,924,923
912,969,987,924,925
913,969,987,924,925
913,969,987,924,926
913,969,987,925,927
913,969,987,925,928
913,970,987,925,930
914,970,987,925,930
914,970,987,925,930
915,970,987,925,931
915,970,987,925,931
915,970,987,925,931
915,970,987,925,931
915,970,987,925,932
915,970,987,925,933
915,970,987,925,933
916,970,987,925,933
916,970,987,925,933
916,970,987,925,933
916,970,987,925,933
917,970,987,925,934
917,970,987,925,934
918,970,987,925,935
918,970,987,925,935
918,970,988,925,935
919,970,988,926,935
920,971,988,926,935
920,971,988,926,936
922,971,988,926,936
923,973,989,926,937
926,973,990,926,937
927,974,991,927,937
928,975,992,931,937
929,975,992,933,937
933,975,992,936,938
937,978,992,941,938
949,978,994,945,939
952,980,995,948,940
952,981,995,958,940
956,981,995,959,941
957,983,996,963,941
959,991,996,963,942
959,992,997,964,942
962,993,1000,966,943
969,993,1003,973,943
969,996,1003,973,949
972,1001,1003,976,951
973,1001,1003,988,954
973,1005,1005,991,962
973,1006,1005,992,964
973,1006,1006,993,964
973,1007,1006,993,969
973,1009,1006,995,974
974,1010,1006,996,981
974,1011,1007,996,983
974,1011,1007,996,986
974,1011,1007,996,986
974,1011,1007,996,987
975,1011,1007,996,988
975,1011,1007,996,989
975,1011,1007,996,989
975,1011,1007,996,989
975,1011,1007,996,990
975,1011,1007,996,990
975,1011,1007,996,990
975,1011,1007,996,990
975,1011,1007,996,990
975,1011,1007,996,991
975,1011,1007,996,991
975,1011,1007,996,991
975,1011,1007,996,992
975,1011,1007,996,992
975,1011,1007,996,992
975,1011,1008,996,992
976,1011,1008,996,992
976,1012,1008,996,992
976,1012,1008,996,992
976,1012,1008,996,993
976,1012,1008,996,993
976,1012,1008,996,993
976,1012,1009,997,993
976,1012,1009,997,994
976,1012,1009,997,994
976,1012,1009,997,994
977,1012,1009,997,994
977,1012,1009,997,994
977,1012,1009,997,995
977,1012,1009,997,995
977,1012,1009,997,995
977,1012,1009,997,996
977,1012,1009,997,996
978,1012,1009,997,997
978,1012,1009,997,997
978,1013,1009,997,997
978,1013,1009,998,997
978,1013,1009,998,997
978,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
981,1013,1009,998,998
981,1013,1009,998,998
981,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
983,1013,1009,998,999
983,1013,1009,998,999
983,1013,1009,998,999
983,1013,1009,998,999
984,1013,1009,998,999
985,1013,1009,998,999
986,1013,1009,999,999
988,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
990,1013,1009,999,999
990,1013,1009,1000,999
990,1013,1009,1000,999
990,1014,1009,1000,999
990,1014,1009,1000,1000
990,1014,1009,1000,1000
990,1014,1009,1000,1000
990,1014,1009,1000,1000
991,1014,1009,1000,1000
991,1014,1009,1000,1000
991,1014,1009,1000,1001
991,1014,1009,1000,1001
992,1014,1009,1000,1001
994,1014,1009,1000,1002
994,1014,1009,1000,1002
994,1014,1009,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1003
994,1014,1010,1000,1003
994,1014,1010,1001,1003
994,1014,1010,1001,1003
995,1014,1010,1001,1003
995,1014,1010,1001,1004
995,1014,1010,1001,1004
995,1014,1010,1001,1004
995,1014,1010,1001,1004
996,1014,1010,1001,1004
996,1014,1010,1001,1004
996,1014,1010,1001,1004
998,1014,1010,1001,1004
999,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1001,1014,1010,1001,1004
1001,1014,1010,1001,1004
1001,1014,1010,1002,1004
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1006
1001,1014,1011,1002,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1004,1006
1003,1014,1011,1004,1006
1003,1014,1011,1004,1006
1004,1014,1011,1004,1006
1004,1014,1011,1004,1006
1004,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1006,1015,1011,1004,1006
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1005,1007
1006,1015,1011,1005,1007
1007,1015,1011,1005,1007
1008,1015,1011,1005,1007
1009,1015,1011,1005,1007
1010,1015,1011,1005,1007
1011,1015,1011,1005,1007
1012,1015,1011,1006,1007
1013,1015,1011,1006,1007
1014,1015,1011,1006,1007
1015,1015,1011,1006,1007
1016,1015,1011,1006,1008
1017,1015,1011,1006,1008
1018,1015,1011,1006,1008
1019,1015,1012,1006,1008
